"Comment","Designator","Footprint","LCSC Part Number"
"CL05B104KO5NNNC","C1,C3,C4,C5,C10,C12,C21,C22,C23","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C1525"
"CL05C101JB5NNNC","C2","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C26409"
"CL05A475MP5NRNC","C6","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C23733"
"CL05B103KB5NNNC","C7","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C15195"
"CL05A105KA5NQNC","C8,C15,C17,C24,C25","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C52923"
"CL10A475KO8NNNC","C9,C11","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C19666"
"CL05C100JB5NNNC","C13,C14","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C32949"
"CL21A106KAYNNNE","C16,C18,C19,C20","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"AYF531035A","DS1","watch:AYF531035A",""
"UJ2-MIBH-4-SMT-TR-67","J1","watch:UJ2-MIBH-4-SMT-TR-67","C22359766"
"LQM21FN100M80L","L1","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","C162582"
"LQM21PN2R2MGHL","L5","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","C341781"
"0402WGF1002TCE","R1,R2,R5,R7,R8","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25744"
"0402WGF4701TCE","R3,R4","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25900"
"0402WGF6800TCE","R6","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25130"
"TL6340AF160Q","SW1,SW2","watch:SW_TL6340AF160Q","C4944967"
"STM32WB55CGU6","U1","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm","C404023"
"NPM1100-QDAA-R","U2","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.15x2.15mm","C5816773"
"MAX17048G+T10","U3","watch:MAX17048G&plus_","C2682616"
"MAXM86161EFD+T","U5","watch:MAXM86161EFDT","C3178309"
"NX2016SA-32MHZ-STD-CZS-5","X1","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","C843260"
"NX2012SA-32.768KHZ-STD-MUB-2","X2","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering","C891748"
"BMA456","U4","watch:XDCR_BMA456","C189518"
