Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C15,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,146.1,-100,-90,bottom
C16,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.5,-104.8,180,bottom
C17,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.439454,-100.587891,-90,bottom
U5,MAXM86161EFD+T,MAXM86161EFDT,150,-100,180,bottom
C1,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.1,-105.5,-90,top
C2,100pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.7,-105.5,-90,top
C3,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.7,-108.22,-90,top
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.75,-103.1825,90,top
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.2,-112.4,180,top
C6,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.1,-108.22,-90,top
C7,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.9,-113.5525,0,top
C8,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.9,-115.0525,0,top
C9,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.75,-102.75,0,top
C10,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,143.9,-107.1,180,top
C11,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.75,-98.75,180,top
C12,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.6,-114.3525,-90,top
C13,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.6,-116.6,-90,top
C14,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148,-116.6,-90,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.8,-95.6,-90,top
C19,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137,-92.4,-90,top
C20,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,146.4,-90.8,90,top
C21,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.4,-84.8,-90,top
C22,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,156.6,-92.2,90,top
C23,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.2,-92.2,90,top
C24,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.5,-100.8175,-90,top
C25,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,156.1,-100.8175,-90,top
DS1,LS012B7DH02,AYF531035A,162.5,-100,90,top
J1,USB_B_Micro,UJ2-MIBH-4-SMT-TR-67,133,-100,0,top
L1,10uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,149.75,-100.75,0,top
L5,2.2uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,144.4,-94.6,0,top
R1,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,150.9,-114.4,90,top
R2,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,150.25,-117.2,0,top
R3,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.4,-111.15,0,top
R4,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.4,-109.95,0,top
R5,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.6,-88.6025,-90,top
R6,560R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.8025,-87,0,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.4,-94.4,0,top
R8,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.9,-107.4,0,top
SW1,TL6340AF160Q,SW_TL6340AF160Q,166.904,-95.471,-75,top
SW2,TL6340AF160Q,SW_TL6340AF160Q,166.904,-104.529,-105,top
U1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,150,-108.2,90,top
U2,nPM1100-QDAA,QFN-24-1EP_4x4mm_P0.5mm_EP2.15x2.15mm,141.75,-90.55,180,top
U3,MAX17048G+,MAX17048G&plus_,151,-84.4325,0,top
U4,BMA456,XDCR_BMA456,154,-92,0,top
X1,NX2016SA-32M,Crystal_SMD_2016-4Pin_2.0x1.6mm,153.5,-101.75,90,top
X2,NX2012_32K768,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,146.8,-114.2,0,top
