Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,402530,PinHeader_1x02_P1.27mm_Vertical,-5.6,14.7675,-90,top
C1,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,7.1,-5.5,-90,top
C2,100pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,5.7,-5.5,-90,top
C3,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,5.7,-8.22,-90,top
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-4.25,-3.1825,90,top
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-5.8,-12.4,180,top
C6,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,7.1,-8.22,-90,top
C7,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2.9,-13.5525,0,top
C8,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2.9,-15.0525,0,top
C9,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-1.25,-2.75,0,top
C10,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-6.1,-7.1,180,top
C11,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-0.25,1.25,180,top
C12,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-0.4,-14.3525,-90,top
C13,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-4.4,-16.6,-90,top
C14,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-2,-16.6,-90,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-9.2,4.4,-90,top
C19,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-13,7.6,-90,top
C20,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-3.6,9.2,90,top
C21,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-2.6,15.2,-90,top
C22,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,6.6,7.8,90,top
C23,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1.2,7.8,90,top
C24,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,7.5,-0.8175,-90,top
C25,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,6.1,-0.8175,-90,top
DS1,LS012B7DH02,AYF531035A,12.5,0,90,top
J1,USB_B_Micro,UJ2-MIBH-4-SMT-TR-67,-17,0,0,top
L1,10uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,-0.25,-0.75,0,top
L5,2.2uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,-5.6,5.4,0,top
R1,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,0.9,-14.4,90,top
R2,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,0.25,-17.2,0,top
R3,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-6.6,-11.15,0,top
R4,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-6.6,-9.95,0,top
R5,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-12.4,11.3975,-90,top
R6,560R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-10.1975,13,0,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,13.4,5.6,0,top
R8,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,13.9,-7.4,0,top
SW1,TL6340AF160Q,SW_TL6340AF160Q,16.904,4.529,-75,top
SW2,TL6340AF160Q,SW_TL6340AF160Q,16.904,-4.529,-105,top
U1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,0,-8.2,90,top
U2,nPM1100-QDAA,QFN-24-1EP_4x4mm_P0.5mm_EP2.15x2.15mm,-8.25,9.45,180,top
U3,MAX17048G+,MAX17048G&plus_,1,15.5675,0,top
U4,BMA456,XDCR_BMA456,4,8,0,top
X1,NX2016SA-32M,Crystal_SMD_2016-4Pin_2.0x1.6mm,3.5,-1.75,90,top
X2,NX2012_32K768,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,-3.2,-14.2,0,top
